,index,name,types_phone
0,51,"{chính hãng 100%} nokia6300 đủ màu, điện thoại nokia 6300 zin chính hãng bảo hành 12 tháng | tuân hưng yên",feature phone
1,52,{rẻ vô địch}_nokia e72_điện thoại cổ nokia e72 wifi zin mới điện chính hãng bảo hành 12 tháng,Classical phone
2,2,"[hàng chính hãng 100%] nokia 1280, điện thoại nokia1280 zin chính hãng đủ phụ kiện pin sài cả tuần",feature phone
3,66,"điện thoại xiaomi redmi 5 plus 2sim ram 3g/32g /ram4/64g mới chính hãng, có tiếng việt",Old model
4,16,"nokia 3310 zin chính hãng, điện thoại nokia 3310 bin bền nghe gọi to rõ bảo hành 12 tháng | tuân hưng yên",feature phone
5,71,điện thoại sony xperia xz1 64g bản nhật qt - snap 835 4g,Old model
6,39,điện thoại xiaomi redmi note 3 pro 2 sim - snap 650 màn 5.5 inch,Old model
7,28,máy cũ giá rẻ oppo neo5 ram 1gb,Old model
8,79,"[bảo hành]điện thoại oppo a83-ram 3gb selfie cực đẹp, bảo hành 3 tháng",Old model
9,64,điện thoại xiaomi redmi note 4x - miui 11 tiếng việt,Old model
